"Отметка времени","Ваш вік:","Ваша сфера діяльності чи навчання: ","Чи купуєте або гортаєте ви ілюстровані видання (артбуки, пікчербуки, графічні романи, комікси, манґу) для власного задоволення?","Що для вас найважливіше в книзі?","Як вам більше подобається сприймати приховані сенси в ілюстрованій книзі?  ","Що вас найбільше чіпляє в ілюстрованих виданнях?","З якою метою ви найчастіше купуєте/берете до рук такі видання?","Яка стилістика ілюстрацій вам найбільше відгукується?","Якій кольоровій гамі в ілюстрованих виданнях ви надаєте перевагу?","Як ви ставитеся до різкої зміни колористики всередині книги (наприклад, коли кольорові сторінки змінюються на чорно-білі або навпаки)?  ","Що для вас важливо в самій конструкції видання?","Яку тематичну сувенірну продукцію вам було б приємно отримати в комплекті з книгою?","А тут можна написати будь-що від себе авторці опитування або скинути посилання на улюблений мем 🤍 "
"2026/08/25 12:22:58 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Ні, мені це нецікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Наявність захисної суперобкладинки","Арт-картки/листівки;Закладки",""
"2026/08/25 2:11:13 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується);Ще мені подобається на форзаці карти світів 😺","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок;Щоб пережити та поринути в іншу історію ,всесвіт та познайомитися з персонажами ","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","Каріна це я Аліна з Дизайну ,я читаю багато книжок але інколи не має часу ,дуже сумую ,але мені сподобалось опитування ,я таке люблю 🫶,читаю фентезі ,романи ,детективи"
"2026/08/25 11:07:54 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Темна, дещо похмура","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Цупкий матовий папір без зайвих відблисків","Закладки;Металевий пін/значок",""
"2026/08/26 8:45:23 AM GMT+3","35+ років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Закладки",""
"2026/08/27 8:38:23 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Ні, мені це нецікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки",""
"2026/08/27 8:39:11 PM GMT+3","До 18 років","Інше","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Пастельна, стримана","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Достатньо лише самої книги, без додаткових елементів",""
"2026/08/27 8:40:23 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Навчання","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Темна, дещо похмура","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки","Тут була лисиця :3"
"2026/08/27 8:40:40 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Металевий пін/значок",""
"2026/08/27 8:41:21 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","Купую подрузі манги в подарунок на кожен день народження, вона їх обожнює та колекціонує. Ми сідаємо разом та розглядаємо, цікаво. Яскраво, різні фото, малюнки. Сама люблю комікси з улюбленими фільмами або мультфільмами. Особливо в дитинстві були цікаві комікси «Том і Джеррі»."
"2026/08/27 8:49:16 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Інколи купую під настрій","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати)","Чорно-біла / монохромна","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Цупкий матовий папір без зайвих відблисків","Достатньо лише самої книги, без додаткових елементів","«Дякую за таке класне та атмосферне опитування! Відчувалося, ніби проходиш міні-тест на сумісність із ідеальним вечором із книжкою. Бажаю натхнення для реалізації всіх задумів! 🤍»"
"2026/08/27 9:05:08 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Ні, мені це нецікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Чорно-біла / монохромна","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/28 5:31:53 AM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки",""
"2026/08/28 3:03:56 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/28 3:45:40 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Арт-картки/листівки;Стікерпак/наліпки","Удачі з вашим проектом!(⁠ ⁠◜⁠‿⁠◝⁠ ⁠)⁠♡"
"2026/08/30 7:46:06 PM GMT+3","До 18 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Металевий пін/значок","https://www.google.com/search?q=%D0%BD%D0%B5%D1%82+%D1%81%D0%BB%D0%BE%D0%B2+%D1%82%D1%8B+%D1%81%D1%83%D0%BF%D0%B5%D1%80&oq=%D0%BD%D0%B5%D1%82+%D1%81%D0%BB%D0%BE%D0%B2+%D1%82%D1%8B+&gs_lcrp=EgZjaHJvbWUqBwgBEAAYgAQyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIICAMQABgWGB4yCAgEEAAYFhgeMggIBRAAGBYYHjIICAYQABgWGB4yCggHEAAYgAQYogQyBwgIEAAY7wUyCggJEAAYgAQYogQyCggKEAAYgAQYogTSAQgyNzgyajBqN6gCFLACAfEFJ7cakRgVekHxBSe3GpEYFXpB8QUntxqRGBV6QQ&client=ms-android-samsung-ss&sourceid=chrome-mobile&source=chrome.ob&ie=UTF-8#cobssid=s&sv=CAMSZBoyKhBlLWtMRkRlUnZiMVZnY1NNMg5rTEZEZVJ2YjFWZ2NTTToOMWJ2WnNIUEd2Q0xDN00gBCokCg5TVzJaYmNqR1NCZFIwTRIQZS1rTEZEZVJ2YjFWZ2NTTRgAMAFKBAgBEAIYByDRzeDPCUoIEAIYASACKAE"
"2026/08/30 7:47:08 PM GMT+3","До 18 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки","https://vt.tiktok.com/ZSVvP2fCu/"
"2026/09/01 4:13:00 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки",":33"
"2026/09/01 4:13:08 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Закладки",""
"2026/09/01 4:13:25 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки","🦄🦄🦄"
"2026/09/01 4:13:49 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Арт-картки/листівки;Стікерпак/наліпки",""
